,waldStat_1,df_1,pvalue_1,fdr_1,gene_id
Potri.009G064300,377.7963933,8,0,0,Potri.009G064300
Potri.015G100700,377.3303812,8,0,0,Potri.015G100700
Potri.006G014066,376.6230252,8,0,0,Potri.006G014066
Potri.002G225200,376.4407251,8,0,0,Potri.002G225200
Potri.017G129200,375.9479354,8,0,0,Potri.017G129200
Potri.017G035800,374.6077646,8,0,0,Potri.017G035800
Potri.010G108100,373.1646529,8,0,0,Potri.010G108100
Potri.001G340000,371.9849718,8,0,0,Potri.001G340000
Potri.018G024400,370.8576509,8,0,0,Potri.018G024400
Potri.002G059000,370.5500822,8,0,0,Potri.002G059000
Potri.002G114800,370.3377209,8,0,0,Potri.002G114800
Potri.014G050000,369.8995191,8,0,0,Potri.014G050000
Potri.017G144241,369.2230788,8,0,0,Potri.017G144241
Potri.006G014400,367.7921593,8,0,0,Potri.006G014400
Potri.002G261900,366.6382589,8,0,0,Potri.002G261900
Potri.005G222500,366.3387505,8,0,0,Potri.005G222500
Potri.004G078200,364.3830776,8,0,0,Potri.004G078200
Potri.017G079600,363.6379678,8,0,0,Potri.017G079600
Potri.010G167200,362.6021361,8,0,0,Potri.010G167200
Potri.006G040700,361.5203208,8,0,0,Potri.006G040700
Potri.006G097000,360.2063362,8,0,0,Potri.006G097000
Potri.009G120800,359.9322263,8,0,0,Potri.009G120800
Potri.001G300900,359.5641673,8,0,0,Potri.001G300900
Potri.008G018400,358.439737,8,0,0,Potri.008G018400
Potri.009G160200,358.1868115,8,0,0,Potri.009G160200
Potri.002G242700,357.9144706,8,0,0,Potri.002G242700
Potri.015G035000,357.166639,8,0,0,Potri.015G035000
Potri.016G136500,355.8168372,8,0,0,Potri.016G136500
Potri.016G039100,353.7366005,8,0,0,Potri.016G039100
Potri.005G237700,353.3611913,8,0,0,Potri.005G237700
Potri.010G163600,349.864944,8,0,0,Potri.010G163600
Potri.005G211000,349.7591114,8,0,0,Potri.005G211000
Potri.011G152400,348.5291699,8,0,0,Potri.011G152400
Potri.001G127100,346.7376966,8,0,0,Potri.001G127100
Potri.004G023000,346.7007288,8,0,0,Potri.004G023000
Potri.005G082901,346.6075592,8,0,0,Potri.005G082901
Potri.001G009600,346.5585341,8,0,0,Potri.001G009600
Potri.018G058900,346.4827209,8,0,0,Potri.018G058900
Potri.018G021900,343.4043664,8,0,0,Potri.018G021900
Potri.016G111000,342.8061589,8,0,0,Potri.016G111000
Potri.008G110300,341.8783654,8,0,0,Potri.008G110300
Potri.010G157600,338.9221012,8,0,0,Potri.010G157600
Potri.006G168800,338.5641364,8,0,0,Potri.006G168800
Potri.006G040400,338.4633454,8,0,0,Potri.006G040400
Potri.010G199600,338.401974,8,0,0,Potri.010G199600
Potri.001G164100,338.37512,8,0,0,Potri.001G164100
Potri.002G094000,334.090411,8,0,0,Potri.002G094000
Potri.006G211200,333.7364067,8,0,0,Potri.006G211200
Potri.001G348400,333.4507119,8,0,0,Potri.001G348400
Potri.004G211200,332.2119469,8,0,0,Potri.004G211200
Potri.009G061300,332.1570172,8,0,0,Potri.009G061300
Potri.011G169300,331.4818935,8,0,0,Potri.011G169300
Potri.018G063901,331.1306872,8,0,0,Potri.018G063901
Potri.008G002300,330.3791901,8,0,0,Potri.008G002300
Potri.006G066100,330.3031675,8,0,0,Potri.006G066100
Potri.001G070500,330.2215541,8,0,0,Potri.001G070500
Potri.008G062200,328.9683336,8,0,0,Potri.008G062200
Potri.012G014500,327.1686802,8,0,0,Potri.012G014500
Potri.001G110300,326.5954039,8,0,0,Potri.001G110300
Potri.008G040500,325.091643,8,0,0,Potri.008G040500
Potri.005G233600,324.7916126,8,0,0,Potri.005G233600
Potri.002G112300,322.9700186,8,0,0,Potri.002G112300
