,waldStat_2,df_2,pvalue_2,fdr_2,gene_id
Potri.005G172800,36.76267599,8,1.27E-05,8.25E-05,Potri.005G172800
Potri.002G098700,36.76055261,8,1.27E-05,8.26E-05,Potri.002G098700
Potri.010G198100,36.75795008,8,1.28E-05,8.27E-05,Potri.010G198100
Potri.005G247100,36.75131405,8,1.28E-05,8.29E-05,Potri.005G247100
Potri.005G236800,36.74946719,8,1.28E-05,8.29E-05,Potri.005G236800
Potri.016G053900,36.73426193,8,1.29E-05,8.34E-05,Potri.016G053900
Potri.001G459500,36.73194247,8,1.29E-05,8.35E-05,Potri.001G459500
Potri.004G005500,36.72929681,8,1.29E-05,8.36E-05,Potri.004G005500
Potri.004G176400,36.68872508,8,1.31E-05,8.50E-05,Potri.004G176400
Potri.018G016600,36.68780336,8,1.31E-05,8.50E-05,Potri.018G016600
Potri.013G118000,36.68327185,8,1.32E-05,8.51E-05,Potri.013G118000
Potri.018G119600,36.66080019,8,1.33E-05,8.59E-05,Potri.018G119600
Potri.001G410100,36.65863282,8,1.33E-05,8.60E-05,Potri.001G410100
Potri.006G230300,36.65429683,8,1.33E-05,8.61E-05,Potri.006G230300
Potri.001G403400,36.65274376,8,1.33E-05,8.62E-05,Potri.001G403400
Potri.006G123000,36.6501572,8,1.33E-05,8.62E-05,Potri.006G123000
Potri.006G126300,36.64535878,8,1.34E-05,8.64E-05,Potri.006G126300
Potri.003G135000,36.63536919,8,1.34E-05,8.68E-05,Potri.003G135000
Potri.010G101200,36.62808858,8,1.35E-05,8.70E-05,Potri.010G101200
Potri.004G114800,36.61050537,8,1.36E-05,8.76E-05,Potri.004G114800
Potri.012G133400,36.6056103,8,1.36E-05,8.78E-05,Potri.012G133400
Potri.003G173400,36.60521902,8,1.36E-05,8.78E-05,Potri.003G173400
Potri.012G042300,36.60053531,8,1.36E-05,8.79E-05,Potri.012G042300
Potri.010G160700,36.59634072,8,1.37E-05,8.81E-05,Potri.010G160700
Potri.005G109700,36.58307179,8,1.37E-05,8.85E-05,Potri.005G109700
Potri.002G033400,36.57692848,8,1.38E-05,8.88E-05,Potri.002G033400
Potri.001G332800,36.57242898,8,1.38E-05,8.89E-05,Potri.001G332800
Potri.002G154700,36.54992764,8,1.39E-05,8.97E-05,Potri.002G154700
Potri.013G047400,36.54779697,8,1.39E-05,8.98E-05,Potri.013G047400
Potri.005G124300,36.50080487,8,1.42E-05,9.16E-05,Potri.005G124300
Potri.007G115800,36.46333332,8,1.44E-05,9.30E-05,Potri.007G115800
Potri.003G186600,36.45103027,8,1.45E-05,9.35E-05,Potri.003G186600
Potri.016G132300,36.44993423,8,1.45E-05,9.35E-05,Potri.016G132300
Potri.010G110700,36.44931751,8,1.45E-05,9.35E-05,Potri.010G110700
Potri.002G070101,36.43414092,8,1.46E-05,9.41E-05,Potri.002G070101
Potri.001G426200,36.43225639,8,1.46E-05,9.41E-05,Potri.001G426200
Potri.008G150200,36.42242531,8,1.47E-05,9.45E-05,Potri.008G150200
Potri.013G077000,36.42231786,8,1.47E-05,9.45E-05,Potri.013G077000
Potri.004G068150,36.41021701,8,1.48E-05,9.50E-05,Potri.004G068150
