Gene,waldStat,df,pvalue,fcMedian,FDR adjusted_pval,
Potri.008G084100,37.12589615,3,4.33E-08,0.298188486,5.41E-06,
Potri.008G118600,37.11169488,3,4.36E-08,0.857764513,5.42E-06,
Potri.008G069900,33.60484152,2,5.04E-08,0.564738404,6.24E-06,
Potri.006G038400,33.54076808,2,5.21E-08,0.866949082,6.41E-06,
Potri.009G120300,33.42265957,2,5.53E-08,1.183545031,6.76E-06,
Potri.016G062400,32.69970395,2,7.93E-08,0.836311488,9.65E-06,
Potri.019G120800,35.85958591,3,8.02E-08,0.710892791,9.71E-06,
Potri.001G377500,32.28912652,2,9.74E-08,0.368529338,1.17E-05,
Potri.003G102300,32.25833482,2,9.89E-08,1.485511253,1.18E-05,
Potri.016G051900,32.26426497,2,9.86E-08,0.453822464,1.18E-05,
Potri.009G071700,32.23758571,2,9.99E-08,0.893026126,1.18E-05,
Potri.017G145700,31.96501872,2,1.15E-07,0.545226716,1.35E-05,
Potri.006G220700,34.96712284,3,1.24E-07,0.179631683,1.45E-05,
Potri.001G280200,31.74445117,2,1.28E-07,0.509851253,1.49E-05,
Potri.001G167100,31.54532202,2,1.41E-07,0.519312551,1.64E-05,
Potri.006G143800,31.06966631,2,1.79E-07,0.460095741,2.07E-05,
Potri.002G123500,30.94925058,2,1.90E-07,0.42101171,2.19E-05,
Potri.001G073900,30.84310698,2,2.01E-07,0.682433272,2.30E-05,
Potri.017G000300,30.63391245,2,2.23E-07,0.353033951,2.54E-05,
Potri.015G143600,30.37920465,2,2.53E-07,0.336005075,2.87E-05,
Potri.004G014100,30.33825776,2,2.58E-07,0.48453939,2.91E-05,
Potri.007G047500,30.31294598,2,2.62E-07,0.519703732,2.94E-05,
Potri.008G068300,36.14725684,4,2.70E-07,3.038383407,3.01E-05,
Potri.005G217800,30.14636446,2,2.84E-07,0.380692499,3.16E-05,
Potri.011G167532,30.02951569,2,3.01E-07,0.844067538,3.33E-05,
Potri.016G074900,29.78489668,2,3.41E-07,0.384911931,3.75E-05,
Potri.018G120200,29.7545089,2,3.46E-07,0.632289731,3.79E-05,
Potri.003G152950,29.49646758,2,3.93E-07,0.464549346,4.29E-05,
Potri.009G030800,29.45195822,2,4.02E-07,0.293444532,4.37E-05,
Potri.005G260300,29.38971347,2,4.15E-07,0.666319494,4.48E-05,
Potri.018G108200,29.24752194,2,4.46E-07,0.483599235,4.79E-05,
Potri.004G117700,32.28972123,3,4.55E-07,1.946845033,4.87E-05,
Potri.006G233600,32.18338594,3,4.79E-07,0.984502626,5.10E-05,
Potri.008G180700,29.07830351,2,4.85E-07,0.94529937,5.12E-05,
Potri.013G067400,29.08361607,2,4.84E-07,0.762641195,5.12E-05,
Potri.013G042800,29.05681164,2,4.90E-07,0.394012652,5.15E-05,
Potri.019G001971,28.97469767,2,5.11E-07,0.881371355,5.34E-05,
Potri.004G087600,28.93353257,2,5.21E-07,0.983302366,5.43E-05,
Potri.016G046200,28.84781788,2,5.44E-07,0.986994337,5.64E-05,
Potri.002G223300,28.81685042,2,5.53E-07,0.714231301,5.70E-05,
Potri.010G137300,28.72246055,2,5.79E-07,0.323766569,5.95E-05,
Potri.010G113700,28.52091101,2,6.41E-07,0.311723419,6.56E-05,
Potri.001G304800,28.47082382,2,6.57E-07,0.426024032,6.69E-05,
