Gene,waldStat,df,pvalue,fcMedian,FDR adjusted_pval,
Potri.001G450000,12.74770275,2,0.001705578,1.076123428,0.048982921,
Potri.017G032200,12.73783605,2,0.001714013,0.498640506,0.049103173,
Potri.019G061700,12.7387883,2,0.001713197,0.780740772,0.049103173,
Potri.019G121400,12.72471262,2,0.001725297,0.650210886,0.049365262,
Potri.010G187600,12.72026329,2,0.001729139,0.326626724,0.04941405,
Potri.008G052900,12.71667479,2,0.001732244,0.743192811,0.049441676,
Potri.014G032400,12.69742152,2,0.001749001,0.381666945,0.049796975,
Potri.014G047300,12.69771823,2,0.001748741,0.276664857,0.049796975,
Potri.005G182300,12.67431688,2,0.001769323,0.417536318,0.050313619,
Potri.008G021700,12.65713581,2,0.001784588,0.454876368,0.050685358,
Potri.006G021200,12.65071489,2,0.001790326,0.455801081,0.050785953,
Potri.018G076600,12.64588031,2,0.001794659,0.372363419,0.050846477,
Potri.012G128700,12.63644181,2,0.001803149,0.956783132,0.051024471,
Potri.013G159500,12.60454606,2,0.001832136,1.363931568,0.051718121,
Potri.017G055000,12.60629355,2,0.001830535,0.473741313,0.051718121,
Potri.008G029800,12.58856666,2,0.001846832,0.340419451,0.051888852,
Potri.013G099800,12.58821038,2,0.001847161,0.361125695,0.051888852,
Potri.013G100500,12.59492303,2,0.001840972,1.428928996,0.051888852,
Potri.014G102466,12.59174507,2,0.0018439,1.030837802,0.051888852,
Potri.004G057800,12.58101377,2,0.00185382,0.714696572,0.052012701,
Potri.005G117200,12.56816468,2,0.001865768,0.4681608,0.052284482,
Potri.006G181300,14.92302061,3,0.001883629,0.70274661,0.052721085,
Potri.005G137500,12.52307926,2,0.001908305,0.37688537,0.053282746,
Potri.006G168800,12.52513803,2,0.001906342,0.308456335,0.053282746,
Potri.001G239700,12.51618685,2,0.001914893,0.264613927,0.053402191,
Potri.001G241800,12.51344233,2,0.001917523,0.621606429,0.053411094,
Potri.006G000900,12.51026281,2,0.001920574,0.323370087,0.053431697,
Potri.004G102400,12.49014196,2,0.001939993,0.29932998,0.053907086,
Potri.006G141100,12.45985995,2,0.00196959,4.658165416,0.054663802,
Potri.007G136800,12.45102826,2,0.001978306,2.522311446,0.054839888,
Potri.006G219300,12.44374843,2,0.00198552,1.460846633,0.054973948,
Potri.001G074200,12.42709093,2,0.002002126,0.959055167,0.055367417,
Potri.001G370366,12.42356127,2,0.002005663,0.239206737,0.05539895,
Potri.001G207100,12.41918516,2,0.002010056,0.246217306,0.055454045,
Potri.013G015600,12.41533715,2,0.002013927,0.265190379,0.055494619,
Potri.009G015800,12.40521118,2,0.00202415,0.311084245,0.0557099,
Potri.008G102900,12.38093088,2,0.002048873,0.801364234,0.056256405,
Potri.009G094900,12.38120887,2,0.002048588,0.226315008,0.056256405,
Potri.001G158900,12.364298,2,0.002065983,0.343812108,0.056591786,
Potri.001G196700,12.36644659,2,0.002063765,0.391737803,0.056591786,
Potri.016G132200,12.35742519,2,0.002073095,0.530685634,0.05671939,
Potri.006G226400,12.35483371,2,0.002075783,4.07295535,0.0567258,
Potri.004G094200,12.34968423,2,0.002081134,0.462065854,0.056804897,
Potri.010G109100,12.33591854,2,0.002095508,2.497532254,0.057129775,
Potri.005G166100,12.29113825,2,0.002142956,0.483815767,0.058354533,
Potri.004G075450,12.28596701,2,0.002148504,0.32487548,0.05843678,
Potri.002G120200,12.27938965,2,0.002155581,0.423562881,0.058491649,
Potri.008G069000,12.28126667,2,0.002153559,0.219674741,0.058491649,
Potri.001G314800,12.26038568,2,0.002176161,0.652731044,0.058980708,
Potri.016G097300,12.25804749,2,0.002178707,0.182330435,0.058980708,
Potri.012G043900,12.23064003,2,0.002208769,0.221918615,0.059724592,
