,waldStat,df,pvalue,logFC1_2,FDR
Potri.008G187000,0.782411933,1,0.376404498,0.210123563,0.711183203
Potri.001G131500,0.782398008,1,0.376408746,-0.912223172,0.711183203
Potri.019G049100,0.782331393,1,0.376429064,-0.593333751,0.711183203
Potri.018G020200,0.782302905,1,0.376437754,-0.276113448,0.711183203
Potri.005G254633,0.782167779,1,0.376478975,-1.042881653,0.711200547
Potri.010G069600,0.782033992,1,0.376519794,-0.300004892,0.711200547
Potri.015G108200,0.782025535,1,0.376522374,-0.616085742,0.711200547
Potri.011G065200,0.781899011,1,0.376560983,0.208197702,0.711225973
Potri.006G010500,0.781657978,1,0.37663455,-1.976016117,0.711267067
Potri.004G096166,0.78150161,1,0.376682287,-5.769883335,0.711267067
Potri.010G176200,0.781477655,1,0.376689601,-0.819967498,0.711267067
Potri.002G214200,0.781477248,1,0.376689725,0.943908517,0.711267067
Potri.008G142980,0.781415804,1,0.376708486,-4.565259973,0.711267067
Potri.006G048100,0.781043047,1,0.376822329,0.869417582,0.71136479
Potri.002G148600,0.781037785,1,0.376823936,0.301242029,0.71136479
Potri.004G189600,0.780999273,1,0.376835701,-0.263411614,0.71136479
Potri.006G051900,0.780858421,1,0.376878733,-0.283206883,0.711398539
Potri.015G098900,0.780499418,1,0.376988443,-0.429029536,0.711558139
Potri.009G167000,0.780357017,1,0.377031974,0.124468643,0.711579789
Potri.008G042800,0.78026086,1,0.377061371,-1.496526906,0.711579789
Potri.002G243500,0.780210544,1,0.377076756,0.241273176,0.711579789
Potri.006G251400,0.780056914,1,0.377123734,-0.871903814,0.711579789
Potri.005G243100,0.7800208,1,0.377134779,0.183581156,0.711579789
Potri.015G080200,0.779931062,1,0.377162224,1.05400551,0.711579789
Potri.019G058600,0.77987202,1,0.377180284,-0.691070464,0.711579789
Potri.014G191100,0.779803657,1,0.377201195,-0.282448063,0.711579789
Potri.010G076600,0.779458974,1,0.377306656,-0.31415706,0.711731264
Potri.005G051850,0.778904162,1,0.377476496,-1.149991878,0.711962069
Potri.006G210600,0.778800985,1,0.377508092,-1.054239913,0.711962069
Potri.009G131300,0.778772281,1,0.377516883,-0.377358321,0.711962069
Potri.014G132900,0.778653304,1,0.377553324,-0.202893962,0.711962069
Potri.003G129600,0.778581222,1,0.377575404,2.767860866,0.711962069
Potri.006G143500,0.778487638,1,0.377604073,0.505657604,0.711962069
Potri.014G097300,0.778483871,1,0.377605227,0.204442552,0.711962069
Potri.017G051100,0.777804396,1,0.377813476,0.850592617,0.712227881
Potri.009G119500,0.777769874,1,0.37782406,0.163620363,0.712227881
Potri.010G093300,0.777725329,1,0.377837719,-0.263459487,0.712227881
Potri.010G037600,0.777695261,1,0.377846939,-0.299785711,0.712227881
Potri.008G070300,0.777454766,1,0.377920695,0.31449752,0.712319433
Potri.006G045900,0.777194708,1,0.378000473,-7.358315633,0.712378021
Potri.008G208300,0.777189225,1,0.378002156,-5.70719239,0.712378021
Potri.004G051000,0.776994433,1,0.378061928,0.533255226,0.712443194
Potri.002G111900,0.776003044,1,0.378366345,-0.161298992,0.712912447
Potri.001G137401,0.775979608,1,0.378373546,0.176720537,0.712912447
Potri.002G017600,0.775937245,1,0.378386562,0.230356032,0.712912447
Potri.012G110750,0.775240266,1,0.3786008,-0.453785794,0.713268574
Potri.004G058700,0.775102256,1,0.378643242,0.175168135,0.713301018
Potri.018G091600,0.775012645,1,0.378670804,-0.709551976,0.713305426
Potri.006G025900,0.77478712,1,0.37874018,0.374944436,0.713357473
Potri.007G126501,0.774758846,1,0.378748879,0.280118272,0.713357473
Potri.008G195700,0.774471012,1,0.378837453,3.061780366,0.713476783
Potri.010G213600,0.774348185,1,0.378875259,0.403284737,0.71350047
Potri.001G324200,0.774157143,1,0.378934071,0.636451091,0.713563713
Potri.T126406,0.774029247,1,0.378973451,-2.436860905,0.713590356
Potri.014G081400,0.773912612,1,0.37900937,0.202804799,0.713610478
Potri.004G169500,0.773742214,1,0.379061852,0.735596793,0.713661783
Potri.004G029600,0.773499249,1,0.379136704,0.775712429,0.713702451
Potri.003G174850,0.773431303,1,0.37915764,-7.394012389,0.713702451
Potri.002G072300,0.773382949,1,0.37917254,-0.351732446,0.713702451
Potri.010G168800,0.773344484,1,0.379184394,0.970691632,0.713702451
Potri.003G009600,0.773180506,1,0.379234932,0.259522547,0.71370768
Potri.006G125500,0.773171711,1,0.379237643,0.20133847,0.71370768
Potri.003G214400,0.772851885,1,0.379336242,-0.4794408,0.713845738
Potri.008G161800,0.772627123,1,0.379405556,-0.705996867,0.713922839
Potri.006G004750,0.772555331,1,0.379427699,-0.175109155,0.713922839
Potri.001G465800,0.772466899,1,0.379454978,-0.613467952,0.713926668
Potri.006G106900,0.772162564,1,0.379548876,0.992563372,0.714055832
Potri.010G078700,0.772028676,1,0.379590196,0.820988092,0.71406089
Potri.005G062800,0.771980095,1,0.37960519,0.321850954,0.71406089
Potri.010G120700,0.771840594,1,0.379648251,0.332706984,0.71406089
Potri.T124307,0.771826649,1,0.379652556,0.290436351,0.71406089
Potri.012G116050,0.771381399,1,0.379790044,-3.17887363,0.714181641
Potri.002G165900,0.771376582,1,0.379791532,0.344586353,0.714181641
Potri.011G078800,0.771373404,1,0.379792514,-0.235828579,0.714181641
Potri.006G004500,0.771038234,1,0.379896058,0.69982775,0.714294111
Potri.017G113000,0.771009195,1,0.379905031,-0.531513329,0.714294111
Potri.004G133900,0.770926909,1,0.379930458,-0.711158909,0.714294111
Potri.002G067700,0.77085284,1,0.379953349,-2.987502534,0.714294111
Potri.001G315400,0.770625023,1,0.380023766,-0.308841052,0.714379006
Potri.002G214400,0.770452249,1,0.380077182,-0.223302133,0.714388961
Potri.006G112800,0.770444492,1,0.38007958,1.448901313,0.714388961
Potri.013G075400,0.77014142,1,0.380173306,-0.364667999,0.714479754
Potri.009G055800,0.770124918,1,0.380178411,-1.272487512,0.714479754
Potri.008G155300,0.7700376,1,0.380205421,22.3784482,0.714483037
Potri.017G128500,0.769333783,1,0.380423231,-0.398113874,0.714797944
Potri.003G007900,0.769332774,1,0.380423543,1.679845726,0.714797944
Potri.003G024200,0.76903747,1,0.380514983,0.689322801,0.714905807
Potri.002G078900,0.768961411,1,0.38053854,-0.538387313,0.714905807
Potri.006G191800,0.76883515,1,0.380577649,0.243323923,0.714905807
Potri.006G060200,0.768818478,1,0.380582814,0.608182668,0.714905807
Potri.006G226600,0.768739314,1,0.380607338,-0.73390888,0.714905807
Potri.004G115800,0.768626432,1,0.380642312,-0.292348907,0.714924019
Potri.006G156314,0.768217073,1,0.380769181,-2.244204956,0.715111203
Potri.006G088648,0.768141711,1,0.380792544,1.555019415,0.715111203
Potri.016G005900,0.768016114,1,0.380831484,-2.975230323,0.715125795
Potri.010G110100,0.767947074,1,0.380852892,-0.413889817,0.715125795
Potri.005G181800,0.767872006,1,0.38087617,9.072925384,0.715125795
Potri.005G077200,0.767627179,1,0.380952106,-0.59615175,0.715216484
Potri.008G171600,0.76755322,1,0.380975049,-0.263888113,0.715216484
Potri.T028032,0.767429527,1,0.381013425,-5.793509704,0.715241052
Potri.014G107300,0.767076711,1,0.381122917,0.124698338,0.715399107
Potri.011G115600,0.766950505,1,0.381162095,-0.345963071,0.715425163
Potri.002G241900,0.7666895,1,0.381243134,0.163724428,0.715497956
Potri.006G252800,0.766662644,1,0.381251474,2.064753132,0.715497956
Potri.013G075801,0.766432839,1,0.381322849,-1.658354725,0.715542645
Potri.019G120900,0.766423059,1,0.381325887,-0.957615053,0.715542645
Potri.001G350900,0.766004239,1,0.381456019,-0.25062314,0.715594936
Potri.008G002200,0.765990602,1,0.381460257,-0.314063346,0.715594936
Potri.011G168800,0.765908853,1,0.381485665,0.26391815,0.715594936
Potri.009G139300,0.76590686,1,0.381486284,0.257450238,0.715594936
Potri.005G183700,0.765835814,1,0.381508367,-0.247537992,0.715594936
Potri.006G220150,0.765766762,1,0.381529833,0.758364785,0.715594936
Potri.008G062000,0.765763428,1,0.381530869,-0.452309748,0.715594936
Potri.001G034700,0.765552209,1,0.381596539,0.304687477,0.715670644
Potri.002G119000,0.765168095,1,0.381716004,-11.06881791,0.715847227
Potri.004G218200,0.764911832,1,0.381795735,-0.289192856,0.71591478
Potri.012G070600,0.764853662,1,0.381813837,-0.443507967,0.71591478
Potri.006G064800,0.76480826,1,0.381827966,0.353556276,0.71591478
Potri.014G140000,0.764619447,1,0.381886733,-0.800334488,0.715977501
Potri.012G110900,0.764384923,1,0.381959746,1.591499781,0.71599523
Potri.010G083300,0.764360722,1,0.381967282,0.247409875,0.71599523
Potri.003G068700,0.764345123,1,0.381972139,0.358948933,0.71599523
Potri.005G086500,0.76401883,1,0.382073759,0.373773506,0.716092509
Potri.016G058200,0.763979026,1,0.382086158,-0.669629097,0.716092509
Potri.006G073000,0.763934609,1,0.382099995,1.089148544,0.716092509
Potri.006G134300,0.763808696,1,0.382139223,-0.253828181,0.716108137
Potri.001G355500,0.763745305,1,0.382158975,3.793584303,0.716108137
Potri.011G101401,0.763632361,1,0.38219417,-1.2951093,0.716112229
Potri.006G254000,0.763459199,1,0.382248139,0.259413206,0.716112229
Potri.011G090100,0.763354352,1,0.382280821,-0.370161465,0.716112229
Potri.016G058600,0.763330821,1,0.382288157,-0.637432486,0.716112229
Potri.015G134100,0.763291593,1,0.382300386,0.529844457,0.716112229
Potri.019G059200,0.763128433,1,0.382351257,0.223587143,0.716112229
Potri.008G082301,0.763087548,1,0.382364006,0.316074936,0.716112229
Potri.010G168500,0.763010072,1,0.382388167,0.574508829,0.716112229
Potri.001G225600,0.763007266,1,0.382389042,-2.181478093,0.716112229
Potri.013G133900,0.762841931,1,0.382440608,0.567594022,0.716161378
Potri.016G076100,0.762758972,1,0.382466486,-2.054202365,0.716162418
Potri.007G098000,0.762386531,1,0.382582694,1.826548806,0.716332589
Potri.004G042800,0.762076913,1,0.382679339,1.196648854,0.716437377
Potri.008G005900,0.76204493,1,0.382689324,-0.298477489,0.716437377
Potri.006G096200,0.761959021,1,0.382716147,1.082700097,0.716440168
Potri.009G103200,0.761796081,1,0.382767028,-2.660843504,0.716487992
Potri.019G097901,0.761500003,1,0.382859508,-0.239423126,0.716582773
Potri.002G230800,0.761471744,1,0.382868336,-0.207362657,0.716582773
Potri.015G055200,0.760986919,1,0.383019845,0.440678157,0.716803308
Potri.018G060500,0.760932499,1,0.383036857,0.407484056,0.716803308
Potri.003G012100,0.760770424,1,0.383087528,-0.375069894,0.716850699
Potri.007G113200,0.760686787,1,0.38311368,0.371123256,0.716852206
Potri.001G056300,0.760448497,1,0.383188203,-0.803410131,0.716944216
Potri.002G236700,0.760119357,1,0.383291173,-1.215739776,0.717089432
Potri.012G115900,0.759858259,1,0.383372884,-0.541838677,0.71719486
Potri.001G271400,0.759725987,1,0.383414288,2.809506729,0.717224875
Potri.002G148200,0.759289223,1,0.38355105,4.477207432,0.717433254
Potri.014G110000,0.75875475,1,0.383718502,49.02398128,0.717699006
Potri.008G188800,0.758553679,1,0.383781524,-0.406408607,0.717769414
Potri.018G083200,0.758269353,1,0.383870667,-0.196989002,0.71788866
Potri.018G065200,0.758128053,1,0.383914979,0.170944865,0.717924058
Potri.009G059200,0.75798394,1,0.383960181,-0.348873569,0.717961113
Potri.008G193700,0.757703465,1,0.384048174,0.32059712,0.718078174
Potri.002G095900,0.757534633,1,0.384101156,-1.042763533,0.718080563
Potri.017G124800,0.757521721,1,0.384105208,-0.456412036,0.718080563
Potri.003G075900,0.75745668,1,0.384125622,-0.574043787,0.718080563
Potri.001G026501,0.757355014,1,0.384157534,0.594220896,0.718092754
Potri.018G082100,0.757098741,1,0.384237992,-0.235984797,0.718195684
Potri.014G015000,0.756779374,1,0.384338292,-1.154668803,0.718335263
Potri.010G206100,0.756645317,1,0.384380405,0.939020479,0.718335263
Potri.006G147800,0.756618391,1,0.384388865,-0.19351661,0.718335263
Potri.010G002500,0.756459983,1,0.384438637,0.181661632,0.718380809
Potri.009G133900,0.75629321,1,0.384491048,1.607157777,0.718431279
Potri.008G133300,0.755757117,1,0.384659592,0.24010575,0.718698724
Potri.002G064300,0.755510042,1,0.384737306,-14.62887176,0.718713604
Potri.011G142501,0.75549258,1,0.3847428,-12.27964402,0.718713604
Potri.002G058300,0.755367293,1,0.384782216,-0.629831609,0.718713604
Potri.018G106100,0.755320965,1,0.384796793,0.225052204,0.718713604
Potri.001G394400,0.755250175,1,0.384819068,-0.370974129,0.718713604
Potri.015G126301,0.755247116,1,0.384820031,-0.24097069,0.718713604
Potri.003G084900,0.755010364,1,0.384894542,-0.261863184,0.718805297
Potri.006G076100,0.75484916,1,0.384945287,0.738581781,0.7188526
Potri.002G096400,0.754747239,1,0.384977376,1.292049769,0.718865057
Potri.001G048500,0.75452935,1,0.38504599,-0.46311451,0.718945711
Potri.006G128800,0.753692738,1,0.385309601,-0.254085454,0.719347052
Potri.001G341300,0.753685744,1,0.385311806,0.306706569,0.719347052
Potri.018G096100,0.753516247,1,0.385365245,-17.59646883,0.71939933
Potri.009G147000,0.753414051,1,0.38539747,0.115837164,0.719412002
Potri.001G013800,0.753253219,1,0.385448193,0.291515026,0.719441092
Potri.019G057400,0.753203327,1,0.38546393,0.13454828,0.719441092
Potri.012G020400,0.752881806,1,0.385565365,0.63628019,0.719568742
Potri.008G081100,0.752825262,1,0.385583208,0.826977947,0.719568742
Potri.015G033000,0.752522943,1,0.385678626,-1.091353815,0.71966504
Potri.019G001400,0.75242371,1,0.385709953,-0.894327242,0.71966504
Potri.010G078800,0.752419926,1,0.385711148,-0.350435374,0.71966504
Potri.001G179600,0.752227832,1,0.385771801,-0.413047471,0.719690525
Potri.006G169400,0.752163886,1,0.385791995,0.367805605,0.719690525
Potri.019G095866,0.752134906,1,0.385801147,0.647651579,0.719690525
Potri.012G127100,0.752027368,1,0.385835112,0.196121357,0.719704901
Potri.012G061900,0.751949372,1,0.385859749,0.385274976,0.719704901
Potri.001G116500,0.751838431,1,0.385894796,0.877892439,0.719722806
Potri.019G053400,0.751492785,1,0.386004017,0.264198209,0.719879039
Potri.017G058200,0.751089163,1,0.386131614,0.388000153,0.720069518
Potri.001G424000,0.750898418,1,0.386191935,0.234482228,0.720134523
Potri.006G117500,0.750187309,1,0.386416934,0.695226072,0.720474765
Potri.002G166700,0.750160727,1,0.386425349,0.190295076,0.720474765
Potri.002G237800,0.749879463,1,0.386514396,0.118035873,0.720593286
Potri.018G032100,0.7497455,1,0.386556819,0.277780686,0.720624874
Potri.004G080800,0.749598068,1,0.386603515,0.453323453,0.720664422
Potri.006G151600,0.749448669,1,0.386650842,0.691388652,0.720705141
Potri.002G261000,0.749207798,1,0.386727163,-0.584245171,0.720799895
Potri.003G088900,0.74875899,1,0.386869427,-0.75554112,0.721017537
Potri.019G014302,0.748514875,1,0.386946838,2.218976843,0.72111429
Potri.002G188100,0.74838773,1,0.386987165,-1.145084302,0.721141926
Potri.015G057800,0.748273648,1,0.387023355,-0.297437589,0.721161848
Potri.010G226250,0.748061227,1,0.387090753,0.482318618,0.721239915
Potri.001G070500,0.74791239,1,0.387137986,0.869304987,0.721280404
Potri.007G103901,0.747653144,1,0.387220278,-2.202944036,0.721349812
Potri.004G132450,0.747606591,1,0.387235058,-0.640937777,0.721349812
Potri.001G301200,0.747553995,1,0.387251757,-6.023791936,0.721349812
Potri.019G090300,0.747452081,1,0.387284118,-22.74030605,0.721362581
Potri.009G023600,0.747336352,1,0.38732087,0.463219935,0.721383526
Potri.010G031800,0.74693307,1,0.38744898,0.745805708,0.721556254
Potri.006G015900,0.746883797,1,0.387464636,0.338843353,0.721556254
Potri.011G078500,0.74659339,1,0.387556932,-0.85419004,0.721680612
Potri.008G041201,0.745940458,1,0.387764557,-1.654654215,0.722019699
Potri.003G186500,0.745820606,1,0.387802686,-0.135402323,0.722043158
Potri.018G101700,0.745686001,1,0.387845515,0.3882501,0.722075364
Potri.001G101100,0.745550348,1,0.387888684,-0.30357232,0.722108199
Potri.004G149800,0.745338006,1,0.387956272,-0.844985461,0.722186485
Potri.004G138400,0.74512698,1,0.388023457,-0.460767882,0.722198971
Potri.005G238600,0.745120437,1,0.388025541,-0.325397442,0.722198971
Potri.004G025200,0.745076328,1,0.388039586,-2.029086596,0.722198971
Potri.014G104900,0.744847302,1,0.388112525,0.737610815,0.722223396
Potri.002G202800,0.744813253,1,0.388123371,0.290827295,0.722223396
Potri.005G079100,0.74479458,1,0.388129319,-2.869801492,0.722223396
Potri.013G116400,0.744462067,1,0.388235258,0.297371699,0.722372997
Potri.003G118300,0.744348978,1,0.388271297,0.223888867,0.722392528
Potri.001G244600,0.744166802,1,0.388329363,0.168307427,0.722431434
Potri.008G025600,0.744123098,1,0.388343296,-0.804022145,0.722431434
Potri.008G198600,0.743997588,1,0.38838331,0.314847448,0.72245835
Potri.006G216100,0.743674733,1,0.388486267,-0.709274209,0.722602341
Potri.009G165400,0.743392174,1,0.388576406,-0.186901727,0.722722472
Potri.019G010400,0.743300825,1,0.388605553,-0.17172982,0.722729155
Potri.006G232400,0.74290199,1,0.38873285,-12.44299409,0.722918363
Potri.013G018300,0.74281036,1,0.388762104,-0.497822279,0.722925231
Potri.005G147801,0.742668738,1,0.388807325,0.295733603,0.722961786
Potri.006G037000,0.742020523,1,0.3890144,-3.69356306,0.723299275
Potri.010G102700,0.741897571,1,0.389053696,0.411357027,0.723300755
Potri.005G102400,0.741857994,1,0.389066346,0.566886533,0.723300755
Potri.005G137900,0.741537253,1,0.389168886,-0.751923087,0.723413929
Potri.005G152000,0.741507563,1,0.38917838,-8.114515462,0.723413929
Potri.016G035400,0.7413737,1,0.389221188,-0.774550074,0.723445433
Potri.001G300800,0.741278089,1,0.389251768,0.768286567,0.723445433
Potri.013G044700,0.741214628,1,0.389272067,-1.138360683,0.723445433
Potri.008G139000,0.741049272,1,0.389324966,-0.298637862,0.723496202
Potri.018G142500,0.740898178,1,0.389373312,-0.236697343,0.723538502
Potri.006G004000,0.740493809,1,0.389502739,-0.561368871,0.723615122
Potri.008G058700,0.740387999,1,0.389536616,0.27169356,0.723615122
Potri.001G123400,0.740311051,1,0.389561256,0.1207819,0.723615122
Potri.001G458000,0.740101501,1,0.389628366,-0.981704358,0.723615122
Potri.006G101500,0.740058687,1,0.389642079,-0.389902648,0.723615122
Potri.005G250200,0.740037298,1,0.38964893,-0.584228844,0.723615122
Potri.016G001400,0.739928502,1,0.389683782,-0.423823754,0.723615122
Potri.005G057800,0.739927859,1,0.389683989,-0.960042256,0.723615122
Potri.008G183000,0.739920356,1,0.389686392,-4.706691555,0.723615122
Potri.006G138900,0.73986353,1,0.389704598,-1.104232019,0.723615122
Potri.002G041800,0.739860469,1,0.389705579,0.264414902,0.723615122
Potri.005G144600,0.739798317,1,0.389725492,-0.370960705,0.723615122
Potri.010G025400,0.739667102,1,0.389767538,-10.99667603,0.723615122
Potri.013G142201,0.739650855,1,0.389772745,-0.457035038,0.723615122
Potri.012G103300,0.739391049,1,0.389856017,-0.359222099,0.72372221
Potri.002G226900,0.739288704,1,0.389888827,0.41645317,0.723727942
Potri.005G026100,0.73915951,1,0.38993025,0.706296911,0.723727942
Potri.006G241300,0.739141973,1,0.389935874,-0.220580007,0.723727942
Potri.001G105800,0.7388432,1,0.390031695,1.164469901,0.723858284
Potri.002G185000,0.738583884,1,0.390114888,0.392122777,0.723919823
Potri.006G175161,0.738545096,1,0.390127335,0.183665524,0.723919823
Potri.002G145400,0.738441596,1,0.390160548,0.991888431,0.723919823
Potri.005G250300,0.738363232,1,0.390185698,0.110656312,0.723919823
Potri.008G165000,0.738285001,1,0.390210808,0.176990744,0.723919823
Potri.006G227600,0.738253693,1,0.390220857,0.462473646,0.723919823
Potri.001G193300,0.73818151,1,0.390244029,0.312593291,0.723919823
Potri.002G172050,0.738068366,1,0.390280353,-7.557866017,0.723939722
Potri.003G062000,0.737935769,1,0.390322928,-8.299024757,0.723971213
Potri.012G133500,0.737438279,1,0.390482726,-2.256659726,0.724090894
Potri.001G252600,0.737430346,1,0.390485275,-0.316513917,0.724090894
Potri.019G014330,0.737417867,1,0.390489285,-0.547662591,0.724090894
Potri.010G159300,0.737416066,1,0.390489863,-0.644383627,0.724090894
Potri.001G033500,0.736755341,1,0.390702245,-0.384253403,0.724362253
Potri.006G116000,0.736729079,1,0.39071069,-0.245890774,0.724362253
Potri.004G201600,0.736656269,1,0.390734104,0.475621345,0.724362253
Potri.017G029700,0.736545427,1,0.390769753,-0.340576662,0.724362253
Potri.001G432333,0.73642782,1,0.390807583,-5.123718224,0.724362253
Potri.014G085500,0.736387821,1,0.390820451,-0.480043518,0.724362253
Potri.016G121650,0.736356276,1,0.390830599,1.886704481,0.724362253
Potri.006G103700,0.736257859,1,0.390862263,0.17585975,0.724362253
Potri.006G149400,0.736244031,1,0.390866712,-0.331518875,0.724362253
Potri.017G064972,0.736037335,1,0.390933225,-0.346807767,0.724408284
Potri.013G050100,0.736007655,1,0.390942778,0.950576627,0.724408284
Potri.008G042300,0.735876654,1,0.390984943,0.225338669,0.724438951
Potri.017G036000,0.73571972,1,0.391035464,-0.233500846,0.724480576
Potri.010G243500,0.735577403,1,0.391081287,-11.13040664,0.724480576
Potri.008G024700,0.735524183,1,0.391098425,0.179880663,0.724480576
Potri.006G026300,0.735462585,1,0.391118262,0.251640197,0.724480576
Potri.007G034000,0.735409094,1,0.39113549,-0.535467783,0.724480576
Potri.011G167000,0.735025766,1,0.391258977,0.385787077,0.724661846
Potri.010G207800,0.734874436,1,0.391307742,-0.878606711,0.724662145
Potri.006G182100,0.734866239,1,0.391310384,0.378186733,0.724662145
Potri.013G106100,0.734661247,1,0.391376457,0.909282675,0.724737049
Potri.017G140900,0.734407978,1,0.391458112,-1.039162547,0.724800572
Potri.004G042700,0.734294381,1,0.391494744,-0.65218262,0.724800572
Potri.014G136400,0.734290701,1,0.391495931,-0.604530625,0.724800572
Potri.004G011701,0.734125035,1,0.391549363,-0.322843274,0.724800572
Potri.018G052500,0.734075102,1,0.39156547,-0.393619742,0.724800572
Potri.002G251300,0.734052522,1,0.391572754,-6.361501042,0.724800572
Potri.001G437700,0.733956823,1,0.391603627,-0.69452175,0.724800572
Potri.002G241800,0.73380882,1,0.391651381,0.189992485,0.724800572
Potri.011G062401,0.733765101,1,0.391665488,0.642296331,0.724800572
Potri.008G002400,0.733740582,1,0.391673401,-0.397451936,0.724800572
Potri.006G175600,0.73368089,1,0.391692664,0.211568561,0.724800572
Potri.002G088500,0.733452901,1,0.391766253,0.389713851,0.724825354
Potri.015G048400,0.733358864,1,0.391796612,8.704491147,0.724825354
Potri.010G208200,0.733262731,1,0.39182765,0.271946042,0.724825354
Potri.005G024200,0.733249284,1,0.391831992,0.286924118,0.724825354
Potri.011G063500,0.733203554,1,0.391846759,2.544157839,0.724825354
Potri.009G084500,0.733091854,1,0.39188283,-0.113897974,0.724825354
Potri.001G347300,0.732974757,1,0.39192065,-6.757435503,0.724825354
Potri.001G197200,0.73291674,1,0.39193939,0.288367325,0.724825354
Potri.015G078700,0.732912445,1,0.391940778,-0.559072214,0.724825354
Potri.001G193700,0.732845689,1,0.391962342,0.225388268,0.724825354
Potri.006G023700,0.732742742,1,0.391995601,1.099875053,0.724839463
Potri.004G111050,0.732213829,1,0.39216654,0.527459763,0.725066411
Potri.008G168100,0.73219541,1,0.392172495,0.191861662,0.725066411
Potri.016G067300,0.732043616,1,0.392221574,1.46081275,0.725066411
Potri.008G173900,0.732022842,1,0.392228291,-0.307400297,0.725066411
Potri.005G176300,0.731948513,1,0.392252328,0.104999162,0.725066411
Potri.014G025200,0.731818083,1,0.392294511,-0.584141199,0.725066411
Potri.003G023000,0.731807932,1,0.392297794,0.158707282,0.725066411
Potri.013G141700,0.731679839,1,0.392339229,0.129067428,0.725095607
Potri.007G092450,0.731524249,1,0.392389566,1.071358868,0.725141251
Potri.013G096849,0.731399513,1,0.392429928,-0.984402995,0.725168456
Potri.009G081600,0.731283628,1,0.392467431,0.257019856,0.725190375
Potri.009G084600,0.731077523,1,0.392534144,-0.506965484,0.725266262
Potri.019G090200,0.730965427,1,0.392570435,0.68279722,0.725285931
Potri.003G104400,0.730877781,1,0.392598813,0.11201113,0.725290982
Potri.010G174100,0.730732605,1,0.392645826,0.456204364,0.725298937
Potri.002G095800,0.730706099,1,0.39265441,-0.250444216,0.725298937
Potri.002G234600,0.730519817,1,0.392714747,-0.385279823,0.725363015
Potri.010G134600,0.730364716,1,0.392764995,-0.262366244,0.72540845
Potri.016G078700,0.730282308,1,0.392791697,-2.213122546,0.725410393
Potri.015G059301,0.730190176,1,0.392821552,1.196116603,0.725418161
Potri.008G181700,0.730032967,1,0.392872503,-1.390203994,0.725451022
Potri.016G059800,0.729976987,1,0.392890648,0.208465811,0.725451022
Potri.013G006400,0.729755234,1,0.392962538,0.348879978,0.725536395
Potri.016G085800,0.729563777,1,0.393024622,0.178217995,0.725567496
Potri.006G202900,0.729545059,1,0.393030692,-0.263288158,0.725567496
Potri.003G021900,0.729332051,1,0.393099783,0.521978085,0.725647677
Potri.014G036500,0.729025822,1,0.39319914,0.418774272,0.725783714
Potri.001G324400,0.728890376,1,0.393243098,0.314760765,0.725817482
Potri.002G098600,0.728800348,1,0.393272319,0.295451554,0.725824049
Potri.005G241901,0.728494217,1,0.393371707,1.190216327,0.725954759
Potri.014G159300,0.728409943,1,0.393399074,-0.084788559,0.725954759
Potri.009G149000,0.728345056,1,0.393420147,-0.397368883,0.725954759
Potri.001G302400,0.728163415,1,0.393479146,8.594030173,0.725969425
Potri.018G119500,0.728089912,1,0.393503024,-0.342888497,0.725969425
Potri.015G093500,0.728083517,1,0.393505101,-0.256022748,0.725969425
Potri.001G115900,0.727848131,1,0.393581583,0.168045822,0.726063162
Potri.005G245300,0.727651385,1,0.393645527,0.234072456,0.72609277
Potri.010G138800,0.727640763,1,0.393648979,-0.182539438,0.72609277
Potri.005G124200,0.727499694,1,0.393694837,1.127469508,0.726129998
Potri.006G274800,0.727407078,1,0.393724949,-0.384232132,0.72613818
Potri.006G227500,0.727209627,1,0.393789155,0.605045638,0.726199266
Potri.002G200150,0.727147302,1,0.393809425,-2.207113949,0.726199266
Potri.004G028000,0.72690881,1,0.393887002,1.210760481,0.726256299
Potri.005G139300,0.726894336,1,0.393891711,-1.269396702,0.726256299
Potri.006G016500,0.726623278,1,0.39397991,2.046383338,0.726295856
Potri.006G081700,0.726622188,1,0.393980265,0.227983974,0.726295856
Potri.019G012000,0.72659164,1,0.393990207,0.882007393,0.726295856
Potri.019G056500,0.725920232,1,0.394208805,0.552755629,0.726651465
Potri.004G130600,0.725725268,1,0.394272315,0.312334508,0.726682206
Potri.014G196600,0.725595835,1,0.394314485,-6.445618506,0.726682206
Potri.005G050300,0.725559968,1,0.394326172,0.359427376,0.726682206
Potri.015G095400,0.725553566,1,0.394328259,-0.196999845,0.726682206
Potri.015G100400,0.72531092,1,0.394407337,0.183934907,0.726745307
Potri.002G057000,0.725290808,1,0.394413893,-1.375504224,0.726745307
Potri.018G052900,0.724715664,1,0.394601429,0.165565604,0.726915005
Potri.001G263700,0.724709519,1,0.394603433,0.397400205,0.726915005
Potri.001G144933,0.724682442,1,0.394612265,-2.015030899,0.726915005
Potri.012G061100,0.724567004,1,0.394649923,-0.406186065,0.726915005
Potri.012G078600,0.724556911,1,0.394653215,-0.208666287,0.726915005
Potri.006G214100,0.724535488,1,0.394660205,0.286631604,0.726915005
Potri.010G119400,0.724440195,1,0.394691296,0.441646591,0.72692493
Potri.017G027400,0.724150395,1,0.39478587,0.394634179,0.727014897
Potri.001G186100,0.724054279,1,0.394817244,0.198208682,0.727014897
Potri.006G004232,0.723996847,1,0.394835992,0.841464982,0.727014897
