,waldStat,df,pvalue,logFC1_2,FDR
Potri.010G188400,5.678683098,1,0.017172252,-1.403405385,0.12080024
Potri.009G031100,5.678474915,1,0.01717429,0.534338826,0.12080024
Potri.008G193000,5.678422546,1,0.017174802,0.685267503,0.12080024
Potri.018G126400,5.67779534,1,0.017180943,2.294967033,0.120813387
Potri.015G029800,5.67438449,1,0.017214378,-0.531071331,0.121018406
Potri.004G096000,5.673657351,1,0.017221515,-1.019392001,0.12103849
Potri.006G232900,5.670352951,1,0.017253984,0.408203221,0.121236567
Potri.013G077200,5.668738565,1,0.01726987,2.33919488,0.121318051
Potri.005G089900,5.667024826,1,0.017286751,-1.932065179,0.121406476
Potri.006G200400,5.665895056,1,0.017297888,1.517139381,0.121454536
Potri.015G025100,5.661828775,1,0.017338036,-1.244326129,0.121669945
Potri.007G146401,5.661715637,1,0.017339154,-1.075805853,0.121669945
Potri.001G400401,5.661481054,1,0.017341473,-2.550780174,0.121669945
Potri.006G236600,5.660133688,1,0.0173548,-0.491858733,0.121733248
Potri.019G023300,5.658340913,1,0.017372549,-1.496235057,0.121810587
Potri.001G254800,5.658150019,1,0.01737444,-2.602124155,0.121810587
Potri.013G033800,5.653694716,1,0.017418634,0.449201893,0.122055637
Potri.013G099900,5.653479887,1,0.017420768,-1.685579371,0.122055637
Potri.001G150200,5.653321731,1,0.017422339,0.484187065,0.122055637
Potri.001G132400,5.650376728,1,0.017451623,0.438902015,0.122230508
Potri.001G436400,5.64760523,1,0.017479227,-12.81715008,0.122393537
Potri.008G171100,5.645025473,1,0.017504962,0.439973434,0.122543399
Potri.005G181600,5.638151122,1,0.01757373,0.940252169,0.122994364
Potri.003G044200,5.635211243,1,0.017603224,-1.002829828,0.123170308
Potri.002G010532,5.632879236,1,0.017626656,2.495282954,0.123272375
Potri.004G040200,5.632612341,1,0.01762934,-0.665822178,0.123272375
Potri.004G160700,5.632458493,1,0.017630887,0.751691717,0.123272375
Potri.008G037401,5.628917411,1,0.017666539,3.769299635,0.123399343
Potri.002G235400,5.628909755,1,0.017666616,-1.73161418,0.123399343
Potri.018G085100,5.628610101,1,0.017669636,0.709865261,0.123399343
Potri.008G025900,5.62842943,1,0.017671458,-1.183177595,0.123399343
Potri.015G054500,5.628096114,1,0.017674818,2.464922827,0.123399343
Potri.002G106500,5.628021417,1,0.017675571,0.55146384,0.123399343
Potri.013G149400,5.627623033,1,0.017679589,1.828145223,0.123399343
Potri.008G039800,5.627132165,1,0.017684541,-3.320092862,0.12340345
Potri.011G074401,5.626677729,1,0.017689126,0.370915186,0.123404999
Potri.006G201100,5.626181347,1,0.017694136,0.314269693,0.12340951
Potri.008G069000,5.625251498,1,0.017703525,-1.717500344,0.123423532
Potri.014G176150,5.624439006,1,0.017711734,1.778050712,0.123423532
Potri.019G070801,5.624327698,1,0.017712859,0.643249002,0.123423532
Potri.012G084400,5.62420085,1,0.017714141,-1.252000807,0.123423532
